Bin_12_13,Verrucomicrobiota
Bin_30_2,Verrucomicrobiota
Bin_35_4,Verrucomicrobiota
Bin_12_6,Verrucomicrobiota
Bin_35_3,Verrucomicrobiota
Bin_42_2,Verrucomicrobiota
Bin_40_1,Spirochaetota
Bin_40_5,Spirochaetota
Bin_40_6,Spirochaetota
Bin_23_8,Gemmatimonadota
Bin_79_3,Gemmatimonadota
Bin_74_3,Gemmatimonadota
Bin_75_1,Gemmatimonadota
Bin_28_3,Gemmatimonadota
Bin_73_4,Gemmatimonadota
Bin_73_3,Gemmatimonadota
Bin_17_15,Gemmatimonadota
Bin_4_3,Gemmatimonadota
Bin_52_2,Gemmatimonadota
Bin_73_7,UBP1
Bin_25_1,Eisenbacteria
Bin_5_11,Eisenbacteria
Bin_28_2,Eisenbacteria
Bin_25_9,Eisenbacteria
Bin_28_7,Eisenbacteria
Bin_25_4,Eisenbacteria
Bin_28_10,Eisenbacteria
Bin_28_1,Eisenbacteria
Bin_28_9,Eisenbacteria
Bin_68_6,Eisenbacteria
Bin_28_5,Eisenbacteria
Bin_28_8,Eisenbacteria
Bin_16_2,Zixibacteria
Bin_64_2,Bacteroidota
Bin_26_1,Bacteroidota
Bin_64_1,Bacteroidota
Bin_39_6,Bacteroidota
Bin_39_4,Bacteroidota
Bin_37_3,Bacteroidota
Bin_26_14,Bacteroidota
Bin_39_7,Bacteroidota
Bin_64_8,Bacteroidota
Bin_64_4,Bacteroidota
Bin_64_7,Bacteroidota
Bin_62_6,Bacteroidota
Bin_56_3,Bacteroidota
Bin_56_4,Bacteroidota
Bin_64_5,Bacteroidota
Bin_64_3,Bacteroidota
Bin_56_7,Bacteroidota
Bin_77_1,KSB1
Bin_18_4,Acidobacteriota
Bin_70_7,Acidobacteriota
Bin_46_3,Acidobacteriota
Bin_46_5,Acidobacteriota
Bin_11_9,Acidobacteriota
Bin_46_6,Acidobacteriota
Bin_71_3,Acidobacteriota
Bin_61_2,Acidobacteriota
Bin_11_4,Acidobacteriota
Bin_38_2,Acidobacteriota
Bin_4_12,Acidobacteriota
Bin_4_14,Acidobacteriota
Bin_71_4,Acidobacteriota
Bin_32_6,Acidobacteriota
Bin_32_8,Acidobacteriota
