"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C"
"Bin_10_16",3.29277739853598,2.65934870274464,2.54732593329786,2.28980170957754,1.17330109806732,2.418706315543,1.5578640868056,1.55351208993281
"Bin_10_1_1",3.54997579740366,2.91301587495748,2.88861077957885,2.04884590490719,1.44490418442449,2.32820523750874,1.07885286293427,1.13801788733892
"Bin_10_36",3.37971399871957,2.31822780041393,2.4361295294406,2.17383394022637,1.60027826654399,2.06057785050823,0.937630947461441,1.76441161449044
"Bin_11_2",4.11520463605102,3.75491937391456,3.44056142086425,1.81457188720755,0.530137209364615,2.43021797515277,0.875949089711516,1.55076527519482
"Bin_11_4",4.44249279809434,3.81450600832623,3.52647507644588,1.74800067456605,0.76819815104894,1.34387455237565,1.40380531340729,1.36005584023394
"Bin_11_5",4.03432802877989,3.75491937391456,3.68920263934108,1.20408576854721,0.939544125288971,1.87770946227094,1.1493311257398,1.7693798215394
"Bin_11_7",3.87603408604662,3.57513305779172,3.31562238483266,1.72683074058048,0.764384243428775,1.7151514615716,0.815357349153005,1.13124496869917
"Bin_11_9",4.17005330405836,3.63841569370003,3.52647507644588,1.57253815429687,0.889225548480287,2.24871658389427,1.02782228475546,0.955709175787444
"Bin_12_12",3.48551732998246,3.22871391087854,2.8980866615791,-0.317199664321983,0.838694687456362,0.717224782829657,2.22649996209588,1.83106996958056
"Bin_12_13",3.96564431622802,3.64701526102685,3.35952750740163,0.496321771567504,1.38137923207035,1.37484199803177,3.01611177205737,3.20958885956819
"Bin_12_2",3.70240361102233,3.21244601699827,3.08223567135796,0.0519230116991452,1.39244942106577,0.964978983093221,1.57452874372381,2.36055654387625
"Bin_12_3",3.69749590764429,3.56783433608527,3.19911665724309,0.238772179995224,0.777136762119714,0.675021962970291,2.43058898378941,3.02227730901629
"Bin_12_6",3.60156344241252,3.05151856976748,2.9785473088319,0.189801035575054,1.03754132346878,0.611088351999608,1.9978868346434,2.04488374924302
"Bin_12_8",3.72260626754173,3.4428947967123,3.1927769371535,0.146449155229838,1.35755966835877,0.57432756738901,1.58455351216378,3.02689986820943
"Bin_13_1",3.63404801723832,3.10047222535791,3.00224195917729,2.11469816022648,0.965963172143332,2.40402631679997,0.662506104356685,0.860730524229407
"Bin_13_10",3.54997579740366,3.1206758460202,3.01043628396342,2.61558726202608,1.25263227640623,2.73291772199617,0.887052422991888,1.63107713033766
"Bin_13_3",3.82734161806174,2.61038620275068,3.11781198562882,2.42414943785482,1.08223875213043,2.61574356462784,0.831635518164542,0.914962760343436
"Bin_13_5",3.26306992232571,3.04713203404781,2.78611318314463,1.83616631733326,1.14807487909433,1.86537123152139,0.640074453565375,0.549304084732627
"Bin_13_6",3.73307248417192,3.14732791014281,3.1927769371535,2.23760670915397,0.94671909949945,2.64044680597205,0.942127586769388,1.26588934162515
"Bin_13_8",3.44005987695693,3.26319967212996,3.18652776544774,2.48685074674207,1.41492326628174,2.62765681668597,1.01946530889957,0.867892202377419
"Bin_13_9",3.90652228045514,2.86597820757315,2.54590429611483,2.31129993490659,1.85023540505528,2.91575269512745,1.21095450473234,0.887495330068637
"Bin_15_1",3.72260626754173,3.22871391087854,3.17429353145949,1.52864263620754,1.25293545573352,1.92973846465832,0.3653943528257,1.1594585302458
"Bin_15_10",3.71746625023061,3.01964933173089,2.93125511205866,1.31216616764671,0.618458467361545,1.72273278685353,0.420736589286303,0.649641601526682
"Bin_15_11",3.73307248417192,3.24218127134054,3.01459238916867,1.36756466605642,0.503467798387093,1.84549809217087,0.181082078461435,0.736667932686958
"Bin_15_12",3.74925805597154,3.51990965750165,3.47532352712347,1.53378015396989,0.998914747953632,1.48197921160385,0.410524863788773,0.759501904136717
"Bin_15_14",4.01322826573375,3.08591347511341,3.09210623837533,1.54228059308683,0.636700911303223,1.74382731566501,0.765091498764943,1.16337428732228
"Bin_15_15",4.12842706445412,3.75491937391456,3.65141478617915,0.916579036641729,0.301109080940724,1.63608800934792,0.571008946164327,1.08695328566309
"Bin_15_16",3.88345866697325,3.48865282244925,3.13399873951154,1.22627655422189,0.263461824489605,1.86537123152139,0.124890445746834,0.667333595311664
"Bin_15_3",3.95668881845306,3.65578855622932,3.28343744481288,0.77107726728536,1.33846166894906,0.916742815141017,0.369040523124132,1.23891846984001
"Bin_15_5",3.81437569675123,3.59011081529805,3.44056142086425,1.80154355945976,0.667505618675453,2.62870839510994,0.688626980881797,1.16868790689262
"Bin_15_6",3.78955305717234,3.4428947967123,3.24629593763388,1.74531107191456,1.07341735822186,1.7200610000333,0.711318229538352,1.13151903166081
"Bin_15_7",3.89101238746093,3.69277146716571,3.24629593763388,1.50208417173339,1.21061580824375,1.41864137956716,0.733452211520318,1.04132727968876
"Bin_15_9",4.09044397075882,3.49472653674399,3.26819776587933,1.34668109710872,0.739090281205325,1.81124324408296,0.781574915194307,1.34892719014603
"Bin_16_2",4.02365002099673,3.7025327640254,3.51311208801287,0.520494433013294,1.10021122301371,1.23270999104903,2.821643011759,2.9229494818615
"Bin_16_5",3.72260626754173,3.37750206821086,3.07258446447061,0.0203669634234537,2.11433386301919,1.81494555991739,3.30863467289101,3.10237895589001
"Bin_16_6",4.01322826573375,3.96577273922945,3.47532352712347,0.23505819409177,2.26810572467638,1.61091652807542,2.92748872180633,3.09194949289537
"Bin_17_12",3.68784380852438,3.62170932305885,3.35952750740163,1.64186845072273,1.06326861692837,2.08697797349736,0.999372116844811,1.2367281633742
"Bin_17_14",3.90652228045514,3.8408360095319,3.60026226373177,1.87616671081154,1.28017697895658,2.23213929317005,1.52525830981729,1.39755748774115
"Bin_17_15",3.6691622862202,3.49472653674399,3.27575117221826,1.44759942580365,0.814062236647013,2.72561836194025,0.912183953553547,0.7558879523675
"Bin_17_4",3.84070658277726,3.58255654100774,3.56922695619886,1.66459600331498,0.776706012683708,2.42196429408126,1.43776216949551,2.10459635115452
"Bin_17_9",3.83397269082264,3.57513305779172,3.23228547843717,1.57439268593621,0.818389407818229,2.32636441586107,1.2844166634741,1.36323355246418
"Bin_18_2_2",4.23210238398191,2.20422179321515,1.91468608397538,1.82751467694874,0.412064642390618,1.6098567187777,0.250235235210373,1.17345120000191
"Bin_18_4",4.11520463605102,2.80191694577902,2.41567567463607,1.35042300685684,0.454872351046137,1.44745402396516,0.613515866706367,0.792440963523531
