ID	Gene_Name	Process	Cycle		
TIGR00193	ureA	urease	Nitrogen_cycling		
TIGR02051	merR	Mercury_resistance	Toxic_metal_cycling		
PF02411	merT	Mercury_resistance	Toxic_metal_cycling		
TIGR02052	merP	Mercury_resistance	Toxic_metal_cycling		
PF03203	merC	Mercury_resistance	Toxic_metal_cycling		
TIGR02053	merA	Mercury_resistance	Toxic_metal_cycling		
PF03599	hgcA	Mercury_methylation	Toxic_metal_cycling		
PF13237	hgcB	Mercury_methylation	Toxic_metal_cycling		"was removed prior to analysis, as it was found everywhere."
TIGR00832	acr3	Arsenic_resistance	Toxic_metal_cycling		
PF02069	smtA	Pb_Zn_resistance_or_homeostasis	Toxic_metal_cycling		
TIGR02047	pbrR	Cd_Pb_resistance	Toxic_metal_cycling		
TIGR01525	pbrA_cadA_ZntA_copB	Cd_Co_Cu_Pb_Zn_resistance	Toxic_metal_cycling		
TIGR01511	ATPase-IB1_Cu	Cd_Co_Cu_Pb_Zn_resistance	Toxic_metal_cycling		
TIGR01512	ATPase-IB2_Cd	Cd_Co_Cu_Pb_Zn_resistance	Toxic_metal_cycling		
TIGR01386	cztS_silS_copS	Cd_Co_Cu_Pb_Zn_resistance	Toxic_metal_cycling		
TIGR01387	cztR_silR_copR	Cd_Co_Cu_Pb_Zn_resistance	Cd_Co_Cu_Pb_Zn_resistance_or_homeostasis		
TIGR00914	CzcA_heavy_metal	Cd_Co_Cu_Pb_Zn_resistance	Toxic_metal_cycling		
TIGR01480	pcoA_copA	Cu_resistance	Toxic_metal_cycling		
COG2372	copC	Cu_resistance	Toxic_metal_cycling		
COG1276	copD	Cu_resistance	Toxic_metal_cycling		
TIGR02694	arsenite_ox_S	Arsenite_oxidation	Toxic_metal_cycling		
TIGR02693	arsenite_ox_L	Arsenite_oxidation	Toxic_metal_cycling		
TIGR00014	arsC	Arsenate_reduction	Toxic_metal_cycling		
TIGR02691	arsC_pI258_fam_thioredoxin	Arsenate_reduction	Toxic_metal_cycling		
TIGR02689	ars_reduc_glutathione	Arsenate_reduction	Toxic_metal_cycling		
TIGR03507	mtrA	iron_oxidation	Iron_cycling		
TIGR03509	mtrC	iron_reduction	Iron_cycling		
PF13972	TetR	Tetracycline_resistance	Antibiotic_Resistance		
PF08050	Tet_res_leader	Tetracycline_resistance	Antibiotic_Resistance		
PF08076	TetM_leader	Tetracycline_resistance	Antibiotic_Resistance		
PF00302	CAT	Chloramphenicol_resistance	Antibiotic_Resistance		
PF08077	Cm_res_leader	Chloramphenicol_resistance	Antibiotic_Resistance		
PF00144	Beta-lactamase	Beta-lactamase	Antibiotic_Resistance		
PF13354	Beta-lactamase2	Beta-lactamase	Antibiotic_Resistance		
PF00753	Lactamase_B	Beta-lactamase	Antibiotic_Resistance		
PF06541	ABC_trans_CmpB_putative_ABC-transporter_type_IV	multiple_drugs	Antibiotic_Resistance		
PF10766	Multidrug_efflux_pump-associated_protein_AcrZ	multiple_drugs	Antibiotic_Resistance		
PF02522	Antibiotic_NAT	Aminoglycoside_transferase	Antibiotic_Resistance		
PF10706	Aminoglyc_resit	Aminoglycoside_transferase	Antibiotic_Resistance		
+1\.7\.2\.1	NirK	amammox	Nitrogen_cycling		
+1\.7\.2\.8	Hdh	amammox	Nitrogen_cycling		
+1\.7\.2.4	nosZ	nitrous_oxide_reductase	Nitrogen_cycling		
+1\.7\.7\.1	nirA	nitrate_reduction	Nitrogen_cycling		
+1\.7\.1\.4	NIT-6	nitrate_reduction	Nitrogen_cycling		
+1\.7\.2\.5	norB	nitric_oxide_reductase	Nitrogen_cycling		
+1\.7\.99\.1	napA	nitrate_reduction	Nitrogen_cycling		
+2\.8\.1\.1	TST	thiosulfate_oxidation_to_sulfite	Sulfur_cycling		
+2\.8\.1\.5	TSR	thiosulfate_reductase	Sulfur_cycling		
+1\.8\.5\.5	phsA	sulfur_to_sulfide	Sulfur_cycling		
+1\.14\.13\.25	mmoX	methane_to_methanol	Carbon_cycling		
+1\.14\.18\.3	pmoA	methane_to_methanol	Carbon_cycling		
+2\.1\.1\.246	mtaA	methanogenesis	Carbon_cycling		
+1\.1\.2\.7	mdh	methanol_dehydrogenase	Carbon_cycling		
+1\.5\.8\.1	dmd	dimethylamine_transferase	Carbon_cycling		
+1\.5\.8\.2	tmd	trimethylamine_transferase	Carbon_cycling		
+1\.1\.2\.244	mdh1	methanol_dehydrogenase	Carbon_cycling		
+1\.1\.3\.13	mdh2	alchohol_oxidase	Carbon_cycling		
+2\.1\.1\.127	rubisco**new	Calvin_cycle	Carbon_cycling		
