"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C","bins","taxa"
"Bin_17_9",0.000146564,0.000265991,0.000585753,0.026644484,0.151918475,0.004716671,0.051949735,0.043327781,"Bin_17_9","Gemmatimonadota"
"Bin_18_2_2",5.86e-05,0.006248535,0.012170654,0.014875971,0.387200008,0.024555189,0.562036816,0.067073165,"Bin_18_2_2","Alphaproteobacteria"
"Bin_18_4",7.67e-05,0.001577913,0.003839939,0.044624873,0.350854983,0.035689953,0.243491684,0.161272024,"Bin_18_4","Acidobacteriota"
"Bin_18_7",7.67e-05,0.016532018,0.013723366,0.024415748,0.125205485,0.021163746,0.624109448,0.98909808,"Bin_18_7","Nitrospirota"
"Bin_18_8",7.22e-05,0.005815736,0.006220143,0.059751691,1.013417588,0.037143429,1.402914981,0.475292604,"Bin_18_8","Nitrospirota"
"Bin_19_1",6.54e-05,0.000144266,0.000148763,0.000705411,0.001689446,0.000344844,0.00161691,0.23544686,"Bin_19_1","Patescibacteria"
"Bin_19_3",0.000227738,0.000522965,0.000743814,0.006351743,0.036582718,0.001060182,0.01393169,0.634266894,"Bin_19_3","UBP10"
"Bin_1_10",0.002349536,0.391344923,2.293550046,0.000789027,0.000581433,0.006483642,0.003914681,8.78e-05,"Bin_1_10","Actinobacteriota"
"Bin_1_17",0.00330784,2.443839828,3.095028079,0.000808791,0.002010026,0.01017718,0.017182454,0.000140808,"Bin_1_17","Actinobacteriota"
"Bin_1_8_1",0.002825306,1.549623104,2.34044751,0.000326861,0.000202343,0.002040566,0.004031158,7.31e-05,"Bin_1_8_1","Actinobacteriota"
"Bin_20_1",0.000148819,0.000306566,0.000641539,0.01647987,0.058233465,0.002790103,0.154381597,0.06059873,"Bin_20_1","Planctomycetota"
"Bin_20_9",0.000121761,0.000365174,0.000427693,0.011786756,0.168983584,0.001476275,0.06511162,0.031580354,"Bin_20_9","Planctomycetota"
"Bin_21_11",9.02e-05,0.000207383,0.000576456,0.078130395,0.099900367,0.052963514,0.21111959,0.033907347,"Bin_21_11","Alphaproteobacteria"
"Bin_21_12",0.000112742,0.000243449,0.000539265,0.015329016,0.064197721,0.007298728,0.21106241,0.021670748,"Bin_21_12","Alphaproteobacteria"
"Bin_21_3_1",0.000124016,0.000356157,0.000502074,0.009282849,0.151401646,0.002151714,0.062176403,0.027091864,"Bin_21_3_1","Alphaproteobacteria"
"Bin_21_3_2",6.54e-05,0.000171316,0.000223144,0.007456989,0.160726509,0.001852469,0.084743264,0.022910592,"Bin_21_3_2","Alphaproteobacteria"
"Bin_21_4",0.000351754,0.000973798,0.001571307,0.016435782,0.405503556,0.003719188,0.41001864,0.244171482,"Bin_21_4","Alphaproteobacteria"
"Bin_21_5",0.000137545,0.000743873,0.000855386,0.03972348,0.285427355,0.019362576,0.129250128,0.147231435,"Bin_21_5","Alphaproteobacteria"
"Bin_21_8",8.57e-05,0.000468866,0.000753112,0.026737221,0.096242339,0.010618922,0.242459275,0.047637061,"Bin_21_8","Alphaproteobacteria"
"Bin_22_1",5.19e-05,9.92e-05,0.000223144,0.005501905,0.218320033,0.000666889,0.118269537,0.115179282,"Bin_22_1","Omnitrophota"
"Bin_22_10",3.61e-05,3.61e-05,0.000130167,0.003610673,0.124921473,0.000752387,0.01753612,0.023643892,"Bin_22_10","Omnitrophota"
"Bin_22_14",1.35e-05,2.25e-05,9.3e-05,0.008676256,0.146154125,0.0029668,0.029620064,0.007268081,"Bin_22_14","Omnitrophota"
"Bin_22_16",4.51e-05,4.96e-05,0.000204549,0.018863674,0.167386778,0.096798631,0.044792762,0.020750009,"Bin_22_16","Verrucomicrobiota"
"Bin_22_18",7.22e-05,0.000117216,0.000185953,0.008334193,0.210405479,0.00181257,0.102487983,0.043301266,"Bin_22_18","Omnitrophota"
"Bin_22_3",1.58e-05,4.51e-05,4.65e-05,0.004986529,0.071027421,0.001302428,0.124911895,0.033799455,"Bin_22_3","Omnitrophota"
"Bin_22_5",2.71e-05,5.86e-05,0.000130167,0.009097375,0.253375424,0.001553224,0.183239267,0.104239216,"Bin_22_5","Omnitrophota"
"Bin_22_6",3.61e-05,4.06e-05,0.000102274,0.001409303,0.040635681,0.00061274,0.10180924,0.062226254,"Bin_22_6","Patescibacteria"
